vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-1.3399,-7.4099,9.56734,3264,-25,-25,9,-25,25,6,25,-25,4,25,25,2
-13.6517,-5.20029,-4.46211,166065,-25,-25,481,-25,25,315,25,-25,202,25,25,176
14.2743,18.6995,7.58584,3142,-25,-25,8,-25,25,4,25,-25,4,25,25,8
19.8082,0.830768,-4.42255,113658,-25,-25,138,-25,25,148,25,-25,252,25,25,238
12.9569,-7.78374,-8.26564,43009,-25,-25,64,-25,25,38,25,-25,108,25,25,78
2.92951,-3.98967,3.65603,23510,-25,-25,43,-25,25,28,25,-25,35,25,25,40
13.3211,3.22703,9.99088,81,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
5.91599,-8.49287,-5.03074,2042,-25,-25,4,-25,25,3,25,-25,1,25,25,3
-13.6121,9.39785,-7.41035,82895,-25,-25,117,-25,25,270,25,-25,83,25,25,119
5.23178,-19.6154,0.387101,50016,-25,-25,79,-25,25,55,25,-25,167,25,25,71
12.8327,3.55269,0.416015,3663,-25,-25,2,-25,25,5,25,-25,8,25,25,5
2.29957,4.78173,0.655419,43742,-25,-25,50,-25,25,91,25,-25,40,25,25,103
-15.8083,-21.4854,5.30638,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.079,4.10669,7.94626,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.53821,-15.6379,-1.75361,282322,-25,-25,779,-25,25,294,25,-25,458,25,25,289
-5.095,9.99781,8.76065,13767,-25,-25,27,-25,25,21,25,-25,12,25,25,24
16.1882,-6.13232,-3.56796,5269,-25,-25,7,-25,25,9,25,-25,16,25,25,12
-1.37251,-9.71674,-6.72079,215,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.29553,-17.5236,3.06395,97,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.00672,-9.13166,-8.13867,7204,-25,-25,7,-25,25,9,25,-25,16,25,25,5
6.42738,16.1904,0.0356703,34564,-25,-25,44,-25,25,59,25,-25,51,25,25,97
13.9077,-15.5581,6.64001,75416,-25,-25,125,-25,25,75,25,-25,232,25,25,117
-15.8413,-7.1078,-7.77658,281514,-25,-25,633,-25,25,616,25,-25,318,25,25,300
8.93504,6.22705,7.7922,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.4228,15.9411,-2.82759,3633,-25,-25,8,-25,25,16,25,-25,1,25,25,4
-0.270572,14.8582,2.21368,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-11.6465,-8.53151,7.76946,325,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-3.3588,-13.103,7.87353,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.57149,-19.1489,-5.53146,91,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.5916,-12.1192,2.05216,33,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.7096,15.2943,0.0853426,92,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-10.3945,-9.87734,-7.02126,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.2034,-8.2896,-7.7371,5318,-25,-25,3,-25,25,3,25,-25,12,25,25,13
-13.6312,-20.3779,0.146389,39192,-25,-25,148,-25,25,52,25,-25,51,25,25,31
-4.02192,3.41761,-5.67276,43,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.464,-5.34325,-3.05113,50324,-25,-25,135,-25,25,122,25,-25,61,25,25,73
18.8079,-20.4913,6.30726,15290,-25,-25,24,-25,25,13,25,-25,61,25,25,20
-8.77995,-4.29193,-1.11429,157119,-25,-25,336,-25,25,281,25,-25,217,25,25,195
-9.20829,-16.3621,9.43464,36,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.27647,17.6784,0.381657,51768,-25,-25,67,-25,25,161,25,-25,63,25,25,109
4.4739,19.6167,2.88671,443095,-25,-25,824,-25,25,885,25,-25,598,25,25,750
0.639528,12.0757,-1.15973,126,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.5153,21.7691,5.64129,105878,-25,-25,139,-25,25,332,25,-25,116,25,25,165
-0.327625,18.3514,8.13954,74,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.4486,6.06279,2.54238,32175,-25,-25,56,-25,25,62,25,-25,43,25,25,50
-21.6337,17.0102,7.93233,16156,-25,-25,26,-25,25,67,25,-25,12,25,25,21
-1.73038,21.5648,-3.51719,58,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.38625,-21.7016,8.9043,7477,-25,-25,22,-25,25,11,25,-25,14,25,25,10
13.6731,11.2489,8.55165,9408,-25,-25,10,-25,25,18,25,-25,16,25,25,29
9.88718,-5.36177,-1.25456,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-9.17103,-17.2318,5.18932,53,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.0009,17.3701,8.24978,17843,-25,-25,24,-25,25,62,25,-25,18,25,25,26
8.1061,17.6903,-9.53942,101,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-20.0145,15.8878,-4.79275,44336,-25,-25,69,-25,25,237,25,-25,45,25,25,70
-5.87435,-7.70403,5.24096,196131,-25,-25,498,-25,25,365,25,-25,303,25,25,247
13.4033,-3.58818,-6.55663,201,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.1746,0.981365,9.78756,13181,-25,-25,17,-25,25,8,25,-25,30,25,25,45
-7.30848,0.948054,-6.15376,35,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.323,20.8893,7.74755,3198,-25,-25,4,-25,25,9,25,-25,5,25,25,10
-20.4442,10.8909,3.74361,132,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.210904,9.70888,6.0886,38619,-25,-25,43,-25,25,75,25,-25,58,25,25,79
-13.8493,-11.5421,-3.96794,9324,-25,-25,34,-25,25,16,25,-25,16,25,25,14
20.4821,-11.9582,-4.73378,10324,-25,-25,12,-25,25,15,25,-25,33,25,25,26
-2.62161,-14.4085,9.97905,46,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.08102,-2.0701,0.396468,2857,-25,-25,3,-25,25,2,25,-25,5,25,25,1
15.5213,-13.2947,-4.35973,33,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.2389,-15.7884,-8.43734,238237,-25,-25,520,-25,25,276,25,-25,564,25,25,267
1.58453,-17.0031,-9.29997,50187,-25,-25,103,-25,25,50,25,-25,104,25,25,64
-20.5308,-1.13098,1.56549,442808,-25,-25,689,-25,25,2256,25,-25,427,25,25,525
12.2049,-19.2471,-4.74739,83056,-25,-25,145,-25,25,101,25,-25,283,25,25,114
18.7928,21.0902,1.77216,54,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.16409,-1.92809,0.345815,2120,-25,-25,3,-25,25,6,25,-25,2,25,25,1
-14.7454,0.800873,-5.76095,31967,-25,-25,62,-25,25,62,25,-25,43,25,25,44
-7.43244,-18.8351,-6.78243,7218,-25,-25,21,-25,25,9,25,-25,13,25,25,8
4.39758,-11.2058,-8.63734,54,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.70159,11.3583,8.2044,32632,-25,-25,45,-25,25,81,25,-25,52,25,25,57
0.0890746,-6.85057,-1.52602,111,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.19,8.18909,6.04338,2600,-25,-25,5,-25,25,6,25,-25,4,25,25,4
19.4922,-6.49623,-6.30106,62655,-25,-25,80,-25,25,74,25,-25,187,25,25,115
-1.97114,4.91273,-6.31235,26836,-25,-25,54,-25,25,62,25,-25,42,25,25,38
1.16467,7.4081,6.64864,148154,-25,-25,217,-25,25,311,25,-25,215,25,25,240
6.06243,-0.897805,4.80839,60964,-25,-25,77,-25,25,94,25,-25,137,25,25,119
17.1678,16.2621,-5.06346,227553,-25,-25,235,-25,25,338,25,-25,319,25,25,1322
-11.4723,-0.393763,2.05232,247457,-25,-25,735,-25,25,402,25,-25,335,25,25,282
-2.9933,13.4954,1.94696,4642,-25,-25,10,-25,25,15,25,-25,8,25,25,14
20.2261,-3.70738,1.53128,92,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
14.1729,-0.57257,6.61671,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
20.9876,-12.3675,6.13858,121018,-25,-25,174,-25,25,132,25,-25,418,25,25,197
4.31177,17.0695,-9.40502,10405,-25,-25,12,-25,25,25,25,-25,14,25,25,25
19.8571,13.2709,-9.38614,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-4.67724,19.1013,-1.80484,557,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
11.8724,-19.6245,-6.19613,50543,-25,-25,86,-25,25,54,25,-25,229,25,25,79
6.76789,9.38721,2.27509,29835,-25,-25,36,-25,25,60,25,-25,56,25,25,65
-2.42936,7.59935,3.14037,51226,-25,-25,75,-25,25,94,25,-25,63,25,25,98
-11.7457,5.00797,9.21626,15972,-25,-25,44,-25,25,19,25,-25,18,25,25,20
-17.2026,1.48654,5.5497,117267,-25,-25,231,-25,25,258,25,-25,130,25,25,149
-20.8089,16.586,7.03964,92,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.39989,-8.91999,5.2214,50979,-25,-25,107,-25,25,78,25,-25,88,25,25,68
-19.3615,7.29326,-2.84978,142054,-25,-25,260,-25,25,401,25,-25,141,25,25,205
8.37353,18.2778,3.02017,229618,-25,-25,273,-25,25,521,25,-25,279,25,25,502
-10.7431,-13.5703,6.23974,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
